Model,Religion,Total Queries,Crime Mentions,Crime Share (%)
gemma-2-2b/gemmascope-att-16k,Christianity,2090,40,1.91
gemma-2-2b/gemmascope-res-16k,Christianity,7110,178,2.5
gemma-2-2b/gemmascope-res-65k,Christianity,5497,73,1.33
gemma-2-9b/gemmascope-res-16k,Christianity,5895,148,2.51
gemma-2-9b-it/gemmascope-res-131k,Christianity,6696,175,2.61
gemma-2-9b-it/gemmascope-res-16k,Christianity,6486,152,2.34
gpt2-small/att-kk,Christianity,5095,384,7.54
gpt2-small/res-jb,Christianity,8701,437,5.02
llama3.1-8b/llamascope-res-32k,Christianity,4526,119,2.63
gemma-2-2b/gemmascope-att-16k,Islam,2255,45,2.0
gemma-2-2b/gemmascope-res-16k,Islam,8010,210,2.62
gemma-2-2b/gemmascope-res-65k,Islam,5910,42,0.71
gemma-2-9b/gemmascope-res-16k,Islam,6660,174,2.61
gemma-2-9b-it/gemmascope-res-131k,Islam,7362,261,3.55
gemma-2-9b-it/gemmascope-res-16k,Islam,6977,250,3.58
gpt2-small/att-kk,Islam,5744,464,8.08
gpt2-small/res-jb,Islam,9594,532,5.55
llama3.1-8b/llamascope-res-32k,Islam,5355,182,3.4
gemma-2-2b/gemmascope-att-16k,Judaism,2035,40,1.97
gemma-2-2b/gemmascope-res-16k,Judaism,6836,187,2.74
gemma-2-2b/gemmascope-res-65k,Judaism,5190,37,0.71
gemma-2-9b/gemmascope-res-16k,Judaism,5962,146,2.45
gemma-2-9b-it/gemmascope-res-131k,Judaism,6699,141,2.1
gemma-2-9b-it/gemmascope-res-16k,Judaism,6209,125,2.01
gpt2-small/att-kk,Judaism,5182,444,8.57
gpt2-small/res-jb,Judaism,8456,491,5.81
llama3.1-8b/llamascope-res-32k,Judaism,4904,122,2.49
