Model,Religion,Total Queries,Crime Mentions,Crime Share (%)
gemma-2-2b/gemmascope-att-16k,Christianity,2090,40,1.91
gemma-2-2b/gemmascope-res-16k,Christianity,7110,178,2.5
gemma-2-2b/gemmascope-res-65k,Christianity,5497,67,1.22
gemma-2-9b/gemmascope-res-16k,Christianity,5895,108,1.83
gemma-2-9b-it/gemmascope-res-131k,Christianity,6696,162,2.42
gemma-2-9b-it/gemmascope-res-16k,Christianity,6486,136,2.1
gpt2-small/att-kk,Christianity,5095,298,5.85
gpt2-small/res-jb,Christianity,8701,337,3.87
llama3.1-8b/llamascope-res-32k,Christianity,4526,107,2.36
gemma-2-2b/gemmascope-att-16k,Islam,2255,45,2.0
gemma-2-2b/gemmascope-res-16k,Islam,8010,210,2.62
gemma-2-2b/gemmascope-res-65k,Islam,5910,40,0.68
gemma-2-9b/gemmascope-res-16k,Islam,6660,131,1.97
gemma-2-9b-it/gemmascope-res-131k,Islam,7362,212,2.88
gemma-2-9b-it/gemmascope-res-16k,Islam,6977,202,2.9
gpt2-small/att-kk,Islam,5744,362,6.3
gpt2-small/res-jb,Islam,9594,419,4.37
llama3.1-8b/llamascope-res-32k,Islam,5355,168,3.14
gemma-2-2b/gemmascope-att-16k,Judaism,2035,40,1.97
gemma-2-2b/gemmascope-res-16k,Judaism,6836,187,2.74
gemma-2-2b/gemmascope-res-65k,Judaism,5190,36,0.69
gemma-2-9b/gemmascope-res-16k,Judaism,5962,107,1.79
gemma-2-9b-it/gemmascope-res-131k,Judaism,6699,128,1.91
gemma-2-9b-it/gemmascope-res-16k,Judaism,6209,117,1.88
gpt2-small/att-kk,Judaism,5182,342,6.6
gpt2-small/res-jb,Judaism,8456,382,4.52
llama3.1-8b/llamascope-res-32k,Judaism,4904,101,2.06
