query_term,latent_feature_number,activation_tokens
christianity,58067,"▁was ▁expanded ▁with ▁two ▁extra ▁store ys ▁in ▁ 1 8 3 5 - 1 8 3 6 ▁for ▁a ▁grocer ▁named ▁Har boe . 

 The ▁actor ▁Christian ▁Nie mann ▁Rosen kilde lived ▁in ▁the ▁building ▁with ▁his ▁family ▁from ▁ 1 8 4 2 ▁to ▁ 1 7 4 9 . ▁His ▁daughter , ▁Julie , ▁later ▁known ▁by ▁her ▁married ▁name ▁Julie ▁S ød ring , ▁who ▁became ▁one ▁of ▁the ▁leading ▁Danish ▁actresses ▁of ▁her ▁time , ▁had ▁her ▁debut ▁at ▁the ▁Royal ▁Danish ▁Theatre ▁in ▁the ▁play ▁Den ▁Sorte ▁D ron ning ▁( The ▁Black ▁Queen ) ▁in ▁ 1 8 4 3 . ▁Many ▁artist ▁frequented ▁the ▁home , ▁including ▁the ▁Swedish ▁singer ▁Jenny ▁Lind . ▁Another ▁well - known ▁actor"
christianity,58067,"▁was ▁expanded ▁with ▁two ▁extra ▁store ys ▁in ▁ 1 8 3 5 - 1 8 3 6 ▁for ▁a ▁grocer ▁named ▁Har boe . 

 The ▁actor ▁Christian ▁Nie mann ▁Rosen kilde lived ▁in ▁the ▁building ▁with ▁his ▁family ▁from ▁ 1 8 4 2 ▁to ▁ 1 7 4 9 . ▁His ▁daughter , ▁Julie , ▁later ▁known ▁by ▁her ▁married ▁name ▁Julie ▁S ød ring , ▁who ▁became ▁one ▁of ▁the ▁leading ▁Danish ▁actresses ▁of ▁her ▁time , ▁had ▁her ▁debut ▁at ▁the ▁Royal ▁Danish ▁Theatre ▁in ▁the ▁play ▁Den ▁Sorte ▁D ron ning ▁( The ▁Black ▁Queen ) ▁in ▁ 1 8 4 3 . ▁Many ▁artist ▁frequented ▁the ▁home , ▁including ▁the ▁Swedish ▁singer ▁Jenny ▁Lind . ▁Another ▁well - known ▁actor"
christianity,58067,"get ▁it ?) 

 Christian ▁K lien ▁is ▁the ▁most ▁recent ▁F 1 ▁depar tee ▁contesting ▁Le ▁Mans ▁this ▁year , ▁having ▁raced ▁sporad ically ▁for ▁Hispan ia ▁last ▁season ▁and ▁now ▁competing ▁for ▁Aston ▁Martin ▁at ▁the ▁Circuit ▁de ▁la ▁Sart he . ▁The ▁ 2 8 - year - old ▁Austrian ▁will ▁be ▁behind ▁the ▁wheel ▁of ▁the ▁British ▁marque ’ s ▁# 0 0 7 ▁machine , ▁teamed ▁with ▁Brit ▁Darren ▁Turner ▁and ▁Germany ’ s ▁Stefan ▁Muck e . 

 Thi ago ▁Monteiro ▁is ▁one ▁of ▁the ▁men ▁set ▁to ▁pilot ▁the ▁# 1 5 ▁OAK ▁L MP 1 ▁machine . ▁Monteiro ▁drove ▁for ▁Jordan ▁in ▁ 2 0 0 5 , ▁landing ▁a ▁podium ▁at ▁the ▁infamous ▁U . S ▁Grand ▁Prix"
christianity,58067,"get ▁it ?) 

 Christian ▁K lien ▁is ▁the ▁most ▁recent ▁F 1 ▁depar tee ▁contesting ▁Le ▁Mans ▁this ▁year , ▁having ▁raced ▁sporad ically ▁for ▁Hispan ia ▁last ▁season ▁and ▁now ▁competing ▁for ▁Aston ▁Martin ▁at ▁the ▁Circuit ▁de ▁la ▁Sart he . ▁The ▁ 2 8 - year - old ▁Austrian ▁will ▁be ▁behind ▁the ▁wheel ▁of ▁the ▁British ▁marque ’ s ▁# 0 0 7 ▁machine , ▁teamed ▁with ▁Brit ▁Darren ▁Turner ▁and ▁Germany ’ s ▁Stefan ▁Muck e . 

 Thi ago ▁Monteiro ▁is ▁one ▁of ▁the ▁men ▁set ▁to ▁pilot ▁the ▁# 1 5 ▁OAK ▁L MP 1 ▁machine . ▁Monteiro ▁drove ▁for ▁Jordan ▁in ▁ 2 0 0 5 , ▁landing ▁a ▁podium ▁at ▁the ▁infamous ▁U . S ▁Grand ▁Prix"
christianity,58067,"▁tortured , ▁imprisoned ▁for ▁two ▁years ▁without ▁charge ▁and ▁then ▁denied ▁travel ▁documents ▁to ▁return ▁to ▁Canada . ▁The ▁ticket ▁L oney ▁helped ▁purchase ▁exposed ▁how ▁the ▁government ▁was ▁actively ▁blocking ▁his ▁return ▁and ▁led ▁to ▁the ▁June ▁ 2 0 0 9 ▁court ▁ruling ▁which ▁forced ▁the ▁Canadian ▁government ▁to ▁bring ▁him ▁home . ▁L oney ▁was ▁one ▁of ▁ 3 0 ▁supporters ▁who ▁were ▁on ▁hand ▁to ▁welcome ▁Abdel raz ik ▁home ▁upon ▁his ▁arrival ▁at ▁Toronto ' s ▁Pearson ▁International ▁Airport ▁on ▁June ▁ 2 7 , ▁ 2 0 0 9 . 

 References 

 External ▁links 
 Christian ▁Peace maker ▁Teams ▁profile 
 March ▁ 3 0 ▁video : ▁speeches ▁to ▁media ▁by ▁James ▁L oney , ▁his ▁partner , ▁& ▁others"
christianity,58067,"▁tortured , ▁imprisoned ▁for ▁two ▁years ▁without ▁charge ▁and ▁then ▁denied ▁travel ▁documents ▁to ▁return ▁to ▁Canada . ▁The ▁ticket ▁L oney ▁helped ▁purchase ▁exposed ▁how ▁the ▁government ▁was ▁actively ▁blocking ▁his ▁return ▁and ▁led ▁to ▁the ▁June ▁ 2 0 0 9 ▁court ▁ruling ▁which ▁forced ▁the ▁Canadian ▁government ▁to ▁bring ▁him ▁home . ▁L oney ▁was ▁one ▁of ▁ 3 0 ▁supporters ▁who ▁were ▁on ▁hand ▁to ▁welcome ▁Abdel raz ik ▁home ▁upon ▁his ▁arrival ▁at ▁Toronto ' s ▁Pearson ▁International ▁Airport ▁on ▁June ▁ 2 7 , ▁ 2 0 0 9 . 

 References 

 External ▁links 
 Christian ▁Peace maker ▁Teams ▁profile 
 March ▁ 3 0 ▁video : ▁speeches ▁to ▁media ▁by ▁James ▁L oney , ▁his ▁partner , ▁& ▁others"
christianity,58067,"▁publication ▁of ▁the ▁new ▁constitution ▁by ▁Christian ▁IX ▁was ▁in ▁itself ▁sufficient ▁to ▁justify ▁them . ▁As ▁to ▁the ▁ultimate ▁outcome ▁of ▁their ▁effective ▁intervention , ▁that ▁could ▁be ▁left ▁to ▁the ▁future ▁to ▁decide . ▁Austria ▁had ▁no ▁clear ▁views . ▁King ▁William ▁wa vered ▁between ▁his ▁Prussian ▁feeling ▁and ▁a ▁sentimental ▁sympathy ▁with ▁the ▁duke ▁of ▁August enburg . ▁Bismarck ▁alone ▁knew ▁exactly ▁what ▁he ▁wanted , ▁and ▁how ▁to ▁attain ▁it . ▁"" From ▁the ▁beginning "", ▁he ▁said ▁later ▁( Reflections , ▁ii . ▁ 1 0 ), ▁"" I ▁kept ▁annexation ▁steadily ▁before ▁my ▁eyes ."" 

 After ▁Christian ▁IX ▁of ▁Denmark ▁merged ▁Schleswig ▁( not ▁Holstein ) ▁into ▁Denmark ▁in ▁ 1 8 6 3 ▁following ▁his ▁accession ▁to ▁the ▁Danish"
christianity,58067,"▁publication ▁of ▁the ▁new ▁constitution ▁by ▁Christian ▁IX ▁was ▁in ▁itself ▁sufficient ▁to ▁justify ▁them . ▁As ▁to ▁the ▁ultimate ▁outcome ▁of ▁their ▁effective ▁intervention , ▁that ▁could ▁be ▁left ▁to ▁the ▁future ▁to ▁decide . ▁Austria ▁had ▁no ▁clear ▁views . ▁King ▁William ▁wa vered ▁between ▁his ▁Prussian ▁feeling ▁and ▁a ▁sentimental ▁sympathy ▁with ▁the ▁duke ▁of ▁August enburg . ▁Bismarck ▁alone ▁knew ▁exactly ▁what ▁he ▁wanted , ▁and ▁how ▁to ▁attain ▁it . ▁"" From ▁the ▁beginning "", ▁he ▁said ▁later ▁( Reflections , ▁ii . ▁ 1 0 ), ▁"" I ▁kept ▁annexation ▁steadily ▁before ▁my ▁eyes ."" 

 After ▁Christian ▁IX ▁of ▁Denmark ▁merged ▁Schleswig ▁( not ▁Holstein ) ▁into ▁Denmark ▁in ▁ 1 8 6 3 ▁following ▁his ▁accession ▁to ▁the ▁Danish"
christianity,58067,"▁ 6 th ▁of ▁October ▁ 2 0 1 1 ."" 
 <bos> Media Manager 

 Description 

 Media Man ajer ▁is ▁a ▁software , ▁written ▁in ▁Java ▁which ▁aims ▁to ▁manage ▁PC ' s ▁media - files . ▁It ▁m ays ▁allow ▁users ▁to ▁index ▁their ▁disk , ▁to ▁extract ▁id 3 ▁tag , ▁extract ▁ex if ▁tags , ▁to ▁convert ▁files ▁from ▁one ▁format ▁to ▁another , ▁to ▁create ▁playlist ▁... <bos> James ▁L oney ▁( peace ▁activist ) 

 James ▁L oney ▁( born ▁ 1 9 6 4 ) ▁is ▁a ▁Canadian ▁peace ▁activist ▁who ▁has ▁worked ▁for ▁several ▁years ▁with ▁Christian ▁Peace maker ▁Teams ▁in ▁Iraq ▁and ▁Palestine . ▁On ▁November ▁ 2 6 , ▁ 2 0 0 5 , ▁he"
christianity,58067,"▁ 6 th ▁of ▁October ▁ 2 0 1 1 ."" 
 <bos> Media Manager 

 Description 

 Media Man ajer ▁is ▁a ▁software , ▁written ▁in ▁Java ▁which ▁aims ▁to ▁manage ▁PC ' s ▁media - files . ▁It ▁m ays ▁allow ▁users ▁to ▁index ▁their ▁disk , ▁to ▁extract ▁id 3 ▁tag , ▁extract ▁ex if ▁tags , ▁to ▁convert ▁files ▁from ▁one ▁format ▁to ▁another , ▁to ▁create ▁playlist ▁... <bos> James ▁L oney ▁( peace ▁activist ) 

 James ▁L oney ▁( born ▁ 1 9 6 4 ) ▁is ▁a ▁Canadian ▁peace ▁activist ▁who ▁has ▁worked ▁for ▁several ▁years ▁with ▁Christian ▁Peace maker ▁Teams ▁in ▁Iraq ▁and ▁Palestine . ▁On ▁November ▁ 2 6 , ▁ 2 0 0 5 , ▁he"
christianity,58067,"▁ 1 . ▁ 2 7 2 ) 

 Austria , ▁the ▁other ▁leading ▁state ▁of ▁the ▁German ▁Confederation , ▁was ▁reluctant ▁to ▁engage ▁in ▁a ▁"" war ▁of ▁liberation "" ▁because ▁of ▁its ▁own ▁problems ▁with ▁various ▁nationalities . ▁After ▁Christian ▁IX ▁of ▁Denmark ▁merged ▁Schleswig ▁into ▁Denmark ▁in ▁ 1 8 6 3 ▁following ▁his ▁accession ▁to ▁the ▁Danish ▁throne ▁that ▁year , ▁Bismarck ' s ▁diplomatic ▁abilities ▁finally ▁convinced ▁Austria ▁to ▁participate ▁in ▁the ▁war , ▁with ▁the ▁assent ▁of ▁the ▁other ▁European ▁large ▁powers ▁and ▁under ▁the ▁auspices ▁of ▁the ▁German ▁Confederation . 

 On ▁June ▁ 2 5 ▁the ▁London ▁conference ▁broke ▁up ▁without ▁having ▁arrived ▁at ▁any ▁conclusion . ▁On ▁the ▁ 2 4 th , ▁in ▁view ▁of ▁the ▁end"
christianity,58067,"▁a ▁pledge ▁for ▁the ▁observance ▁by ▁Denmark ▁of ▁the ▁comp acts ▁of ▁ 1 8 5 2 . ▁This ▁implied ▁the ▁recognition ▁of ▁the ▁rights ▁of ▁Christian ▁IX , ▁and ▁was ▁indign antly ▁rejected ; ▁whereupon ▁the ▁federal ▁assembly ▁was ▁informed ▁that ▁the ▁Austrian ▁and ▁Prussian ▁governments ▁would ▁act ▁in ▁the ▁matter ▁as ▁independent ▁European ▁powers . 

 On ▁January ▁ 1 6 , ▁ 1 8 6 4 ▁the ▁agreement ▁between ▁them ▁was ▁signed . ▁An ▁article ▁drafted ▁by ▁Austria , ▁intended ▁to ▁safeguard ▁the ▁settlement ▁of ▁ 1 8 5 2 , ▁was ▁replaced ▁at ▁Bismarck ' s ▁instance ▁by ▁another ▁which ▁stated ▁that ▁the ▁two ▁powers ▁would ▁decide ▁only ▁in ▁concert ▁on ▁the ▁relations ▁of ▁the ▁duch ies , ▁and ▁that ▁they ▁would ▁in"
christianity,58067,"▁a ▁pledge ▁for ▁the ▁observance ▁by ▁Denmark ▁of ▁the ▁comp acts ▁of ▁ 1 8 5 2 . ▁This ▁implied ▁the ▁recognition ▁of ▁the ▁rights ▁of ▁Christian ▁IX , ▁and ▁was ▁indign antly ▁rejected ; ▁whereupon ▁the ▁federal ▁assembly ▁was ▁informed ▁that ▁the ▁Austrian ▁and ▁Prussian ▁governments ▁would ▁act ▁in ▁the ▁matter ▁as ▁independent ▁European ▁powers . 

 On ▁January ▁ 1 6 , ▁ 1 8 6 4 ▁the ▁agreement ▁between ▁them ▁was ▁signed . ▁An ▁article ▁drafted ▁by ▁Austria , ▁intended ▁to ▁safeguard ▁the ▁settlement ▁of ▁ 1 8 5 2 , ▁was ▁replaced ▁at ▁Bismarck ' s ▁instance ▁by ▁another ▁which ▁stated ▁that ▁the ▁two ▁powers ▁would ▁decide ▁only ▁in ▁concert ▁on ▁the ▁relations ▁of ▁the ▁duch ies , ▁and ▁that ▁they ▁would ▁in"
christianity,58067,"▁in ▁case ▁PAL ▁is ▁not ▁used ▁where ▁you ▁live . 

 It ' s ▁too ▁bad ▁that ▁a ▁Linux ▁P VR ▁doesn ' t ▁make ▁the ▁TV 
 programs ▁themselves ▁any ▁better , ▁but ▁I ▁guess ▁you ▁can ' t ▁have 
 everything , ▁can ▁you ? 

 Christian ▁A . ▁Herzog ▁is ▁a ▁programmer ▁focused ▁on ▁Web ▁development ▁using 
 open - source ▁technologies . ▁He ' s ▁still ▁on ▁his ▁never - ending ▁quest ▁to ▁bring ▁a 
 Linux - based ▁device ▁to ▁every ▁home ▁and ▁company ▁he ▁comes ▁across . 
 Write ▁him ▁at ▁no eff red @ gmx . net . 

 Comment ▁viewing ▁options 

 I ▁was ▁wonder ▁if ▁you ▁could ▁also ▁include ▁a ▁connection ▁diagram ▁. ▁I ▁was ▁looking ▁at ▁the"
christianity,58067,"▁in ▁case ▁PAL ▁is ▁not ▁used ▁where ▁you ▁live . 

 It ' s ▁too ▁bad ▁that ▁a ▁Linux ▁P VR ▁doesn ' t ▁make ▁the ▁TV 
 programs ▁themselves ▁any ▁better , ▁but ▁I ▁guess ▁you ▁can ' t ▁have 
 everything , ▁can ▁you ? 

 Christian ▁A . ▁Herzog ▁is ▁a ▁programmer ▁focused ▁on ▁Web ▁development ▁using 
 open - source ▁technologies . ▁He ' s ▁still ▁on ▁his ▁never - ending ▁quest ▁to ▁bring ▁a 
 Linux - based ▁device ▁to ▁every ▁home ▁and ▁company ▁he ▁comes ▁across . 
 Write ▁him ▁at ▁no eff red @ gmx . net . 

 Comment ▁viewing ▁options 

 I ▁was ▁wonder ▁if ▁you ▁could ▁also ▁include ▁a ▁connection ▁diagram ▁. ▁I ▁was ▁looking ▁at ▁the"
