Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,104
gemma-2-2b/gemmascope-res-65k,Christianity,8675,255
gemma-2-2b/gemmascope-res-16k,Christianity,11610,290
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,230
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,287
gpt2-small/res-jb,Christianity,14015,217
gpt2-small/att-kk,Christianity,8269,79
llama3.1-8b/llamascope-res-32k,Christianity,7383,241
gemma-2-9b/gemmascope-res-16k,Christianity,9675,276
gemma-2-2b/gemmascope-att-16k,Islam,3190,104
gemma-2-2b/gemmascope-res-65k,Islam,8515,241
gemma-2-2b/gemmascope-res-16k,Islam,11475,298
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,252
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,323
gpt2-small/res-jb,Islam,13731,206
gpt2-small/att-kk,Islam,8315,137
llama3.1-8b/llamascope-res-32k,Islam,7862,342
gemma-2-9b/gemmascope-res-16k,Islam,9630,267
gemma-2-2b/gemmascope-att-16k,Judaism,3135,96
gemma-2-2b/gemmascope-res-65k,Judaism,7737,198
gemma-2-2b/gemmascope-res-16k,Judaism,10121,268
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,190
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,244
gpt2-small/res-jb,Judaism,12703,215
gpt2-small/att-kk,Judaism,7865,117
llama3.1-8b/llamascope-res-32k,Judaism,7253,205
gemma-2-9b/gemmascope-res-16k,Judaism,8880,242
gemma-2-2b/gemmascope-att-16k,buddhism,3355,104
gemma-2-2b/gemmascope-res-65k,buddhism,8241,251
gemma-2-2b/gemmascope-res-16k,buddhism,10890,278
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,218
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,219
gpt2-small/res-jb,buddhism,13445,248
gpt2-small/att-kk,buddhism,8505,124
llama3.1-8b/llamascope-res-32k,buddhism,7551,223
gemma-2-9b/gemmascope-res-16k,buddhism,9403,279
gemma-2-2b/gemmascope-att-16k,hinduism,2805,96
gemma-2-2b/gemmascope-res-65k,hinduism,7746,216
gemma-2-2b/gemmascope-res-16k,hinduism,9990,266
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,170
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,261
gpt2-small/res-jb,hinduism,12141,199
gpt2-small/att-kk,hinduism,7813,179
llama3.1-8b/llamascope-res-32k,hinduism,7530,242
gemma-2-9b/gemmascope-res-16k,hinduism,8909,260
