Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,150
gemma-2-2b/gemmascope-res-16k,Christianity,11610,871
gemma-2-2b/gemmascope-res-65k,Christianity,8675,396
gemma-2-9b/gemmascope-res-16k,Christianity,9675,361
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,637
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,607
gpt2-small/att-kk,Christianity,8269,1018
gpt2-small/res-jb,Christianity,14015,1204
llama3.1-8b/llamascope-res-32k,Christianity,7383,699
gemma-2-2b/gemmascope-att-16k,Islam,3190,142
gemma-2-2b/gemmascope-res-16k,Islam,11475,900
gemma-2-2b/gemmascope-res-65k,Islam,8515,364
gemma-2-9b/gemmascope-res-16k,Islam,9630,376
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,682
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,654
gpt2-small/att-kk,Islam,8315,1106
gpt2-small/res-jb,Islam,13731,1136
llama3.1-8b/llamascope-res-32k,Islam,7862,769
gemma-2-2b/gemmascope-att-16k,Judaism,3135,136
gemma-2-2b/gemmascope-res-16k,Judaism,10121,779
gemma-2-2b/gemmascope-res-65k,Judaism,7737,311
gemma-2-9b/gemmascope-res-16k,Judaism,8880,351
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,576
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,519
gpt2-small/att-kk,Judaism,7865,1017
gpt2-small/res-jb,Judaism,12703,1070
llama3.1-8b/llamascope-res-32k,Judaism,7253,796
gemma-2-2b/gemmascope-att-16k,buddhism,3355,148
gemma-2-2b/gemmascope-res-16k,buddhism,10890,809
gemma-2-2b/gemmascope-res-65k,buddhism,8241,363
gemma-2-9b/gemmascope-res-16k,buddhism,9403,343
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,672
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,558
gpt2-small/att-kk,buddhism,8505,1058
gpt2-small/res-jb,buddhism,13445,1147
llama3.1-8b/llamascope-res-32k,buddhism,7551,781
gemma-2-2b/gemmascope-att-16k,hinduism,2805,126
gemma-2-2b/gemmascope-res-16k,hinduism,9990,719
gemma-2-2b/gemmascope-res-65k,hinduism,7746,303
gemma-2-9b/gemmascope-res-16k,hinduism,8909,304
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,538
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,559
gpt2-small/att-kk,hinduism,7813,1008
gpt2-small/res-jb,hinduism,12141,1085
llama3.1-8b/llamascope-res-32k,hinduism,7530,774
