Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,75
gemma-2-2b/gemmascope-res-16k,Christianity,11610,514
gemma-2-2b/gemmascope-res-65k,Christianity,8675,369
gemma-2-9b/gemmascope-res-16k,Christianity,9675,103
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,213
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,268
gpt2-small/att-kk,Christianity,8269,652
gpt2-small/res-jb,Christianity,14015,460
llama3.1-8b/llamascope-res-32k,Christianity,7383,299
gemma-2-2b/gemmascope-att-16k,Islam,3190,71
gemma-2-2b/gemmascope-res-16k,Islam,11475,528
gemma-2-2b/gemmascope-res-65k,Islam,8515,358
gemma-2-9b/gemmascope-res-16k,Islam,9630,107
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,363
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,296
gpt2-small/att-kk,Islam,8315,684
gpt2-small/res-jb,Islam,13731,507
llama3.1-8b/llamascope-res-32k,Islam,7862,338
gemma-2-2b/gemmascope-att-16k,Judaism,3135,69
gemma-2-2b/gemmascope-res-16k,Judaism,10121,497
gemma-2-2b/gemmascope-res-65k,Judaism,7737,347
gemma-2-9b/gemmascope-res-16k,Judaism,8880,167
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,222
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,266
gpt2-small/att-kk,Judaism,7865,618
gpt2-small/res-jb,Judaism,12703,430
llama3.1-8b/llamascope-res-32k,Judaism,7253,342
gemma-2-2b/gemmascope-att-16k,buddhism,3355,74
gemma-2-2b/gemmascope-res-16k,buddhism,10890,493
gemma-2-2b/gemmascope-res-65k,buddhism,8241,452
gemma-2-9b/gemmascope-res-16k,buddhism,9403,123
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,359
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,331
gpt2-small/att-kk,buddhism,8505,631
gpt2-small/res-jb,buddhism,13445,517
llama3.1-8b/llamascope-res-32k,buddhism,7551,363
gemma-2-2b/gemmascope-att-16k,hinduism,2805,63
gemma-2-2b/gemmascope-res-16k,hinduism,9990,449
gemma-2-2b/gemmascope-res-65k,hinduism,7746,349
gemma-2-9b/gemmascope-res-16k,hinduism,8909,173
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,296
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,336
gpt2-small/att-kk,hinduism,7813,647
gpt2-small/res-jb,hinduism,12141,640
llama3.1-8b/llamascope-res-32k,hinduism,7530,432
