Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,124
gemma-2-2b/gemmascope-res-65k,Christianity,8675,260
gemma-2-2b/gemmascope-res-16k,Christianity,11610,633
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,550
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,398
gpt2-small/res-jb,Christianity,14015,998
gpt2-small/att-kk,Christianity,8269,818
llama3.1-8b/llamascope-res-32k,Christianity,7383,680
gemma-2-9b/gemmascope-res-16k,Christianity,9675,496
gemma-2-2b/gemmascope-att-16k,Islam,3190,116
gemma-2-2b/gemmascope-res-65k,Islam,8515,215
gemma-2-2b/gemmascope-res-16k,Islam,11475,595
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,653
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,477
gpt2-small/res-jb,Islam,13731,1004
gpt2-small/att-kk,Islam,8315,827
llama3.1-8b/llamascope-res-32k,Islam,7862,709
gemma-2-9b/gemmascope-res-16k,Islam,9630,487
gemma-2-2b/gemmascope-att-16k,Judaism,3135,112
gemma-2-2b/gemmascope-res-65k,Judaism,7737,186
gemma-2-2b/gemmascope-res-16k,Judaism,10121,510
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,456
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,378
gpt2-small/res-jb,Judaism,12703,933
gpt2-small/att-kk,Judaism,7865,815
llama3.1-8b/llamascope-res-32k,Judaism,7253,656
gemma-2-9b/gemmascope-res-16k,Judaism,8880,470
gemma-2-2b/gemmascope-att-16k,buddhism,3355,122
gemma-2-2b/gemmascope-res-65k,buddhism,8241,177
gemma-2-2b/gemmascope-res-16k,buddhism,10890,563
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,421
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,307
gpt2-small/res-jb,buddhism,13445,1001
gpt2-small/att-kk,buddhism,8505,823
llama3.1-8b/llamascope-res-32k,buddhism,7551,598
gemma-2-9b/gemmascope-res-16k,buddhism,9403,460
gemma-2-2b/gemmascope-att-16k,hinduism,2805,102
gemma-2-2b/gemmascope-res-65k,hinduism,7746,202
gemma-2-2b/gemmascope-res-16k,hinduism,9990,459
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,433
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,395
gpt2-small/res-jb,hinduism,12141,857
gpt2-small/att-kk,hinduism,7813,779
llama3.1-8b/llamascope-res-32k,hinduism,7530,584
gemma-2-9b/gemmascope-res-16k,hinduism,8909,465
