Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,153
gemma-2-2b/gemmascope-res-65k,Christianity,8675,383
gemma-2-2b/gemmascope-res-16k,Christianity,11610,580
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,577
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,516
gpt2-small/res-jb,Christianity,14015,1190
gpt2-small/att-kk,Christianity,8269,1168
llama3.1-8b/llamascope-res-32k,Christianity,7383,709
gemma-2-9b/gemmascope-res-16k,Christianity,9675,429
gemma-2-2b/gemmascope-att-16k,Islam,3190,149
gemma-2-2b/gemmascope-res-65k,Islam,8515,329
gemma-2-2b/gemmascope-res-16k,Islam,11475,621
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,599
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,546
gpt2-small/res-jb,Islam,13731,1189
gpt2-small/att-kk,Islam,8315,1241
llama3.1-8b/llamascope-res-32k,Islam,7862,788
gemma-2-9b/gemmascope-res-16k,Islam,9630,402
gemma-2-2b/gemmascope-att-16k,Judaism,3135,142
gemma-2-2b/gemmascope-res-65k,Judaism,7737,310
gemma-2-2b/gemmascope-res-16k,Judaism,10121,519
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,514
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,470
gpt2-small/res-jb,Judaism,12703,1114
gpt2-small/att-kk,Judaism,7865,1164
llama3.1-8b/llamascope-res-32k,Judaism,7253,770
gemma-2-9b/gemmascope-res-16k,Judaism,8880,398
gemma-2-2b/gemmascope-att-16k,buddhism,3355,152
gemma-2-2b/gemmascope-res-65k,buddhism,8241,372
gemma-2-2b/gemmascope-res-16k,buddhism,10890,540
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,646
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,489
gpt2-small/res-jb,buddhism,13445,1216
gpt2-small/att-kk,buddhism,8505,1228
llama3.1-8b/llamascope-res-32k,buddhism,7551,734
gemma-2-9b/gemmascope-res-16k,buddhism,9403,405
gemma-2-2b/gemmascope-att-16k,hinduism,2805,135
gemma-2-2b/gemmascope-res-65k,hinduism,7746,303
gemma-2-2b/gemmascope-res-16k,hinduism,9990,528
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,481
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,473
gpt2-small/res-jb,hinduism,12141,1140
gpt2-small/att-kk,hinduism,7813,1200
llama3.1-8b/llamascope-res-32k,hinduism,7530,769
gemma-2-9b/gemmascope-res-16k,hinduism,8909,367
