Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,13
gemma-2-2b/gemmascope-res-65k,Christianity,8675,86
gemma-2-2b/gemmascope-res-16k,Christianity,11610,176
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,131
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,125
gpt2-small/res-jb,Christianity,14015,137
gpt2-small/att-kk,Christianity,8269,101
llama3.1-8b/llamascope-res-32k,Christianity,7383,79
gemma-2-9b/gemmascope-res-16k,Christianity,9675,59
gemma-2-2b/gemmascope-att-16k,Islam,3190,13
gemma-2-2b/gemmascope-res-65k,Islam,8515,73
gemma-2-2b/gemmascope-res-16k,Islam,11475,178
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,101
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,117
gpt2-small/res-jb,Islam,13731,122
gpt2-small/att-kk,Islam,8315,132
llama3.1-8b/llamascope-res-32k,Islam,7862,88
gemma-2-9b/gemmascope-res-16k,Islam,9630,74
gemma-2-2b/gemmascope-att-16k,Judaism,3135,12
gemma-2-2b/gemmascope-res-65k,Judaism,7737,44
gemma-2-2b/gemmascope-res-16k,Judaism,10121,153
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,93
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,109
gpt2-small/res-jb,Judaism,12703,97
gpt2-small/att-kk,Judaism,7865,106
llama3.1-8b/llamascope-res-32k,Judaism,7253,77
gemma-2-9b/gemmascope-res-16k,Judaism,8880,61
gemma-2-2b/gemmascope-att-16k,buddhism,3355,13
gemma-2-2b/gemmascope-res-65k,buddhism,8241,49
gemma-2-2b/gemmascope-res-16k,buddhism,10890,167
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,128
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,114
gpt2-small/res-jb,buddhism,13445,103
gpt2-small/att-kk,buddhism,8505,107
llama3.1-8b/llamascope-res-32k,buddhism,7551,95
gemma-2-9b/gemmascope-res-16k,buddhism,9403,52
gemma-2-2b/gemmascope-att-16k,hinduism,2805,12
gemma-2-2b/gemmascope-res-65k,hinduism,7746,74
gemma-2-2b/gemmascope-res-16k,hinduism,9990,142
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,80
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,107
gpt2-small/res-jb,hinduism,12141,93
gpt2-small/att-kk,hinduism,7813,108
llama3.1-8b/llamascope-res-32k,hinduism,7530,110
gemma-2-9b/gemmascope-res-16k,hinduism,8909,78
