Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,39
gemma-2-2b/gemmascope-res-65k,Christianity,8675,120
gemma-2-2b/gemmascope-res-16k,Christianity,11610,143
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,207
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,97
gpt2-small/res-jb,Christianity,14015,144
gpt2-small/att-kk,Christianity,8269,231
llama3.1-8b/llamascope-res-32k,Christianity,7383,134
gemma-2-9b/gemmascope-res-16k,Christianity,9675,112
gemma-2-2b/gemmascope-att-16k,Islam,3190,39
gemma-2-2b/gemmascope-res-65k,Islam,8515,138
gemma-2-2b/gemmascope-res-16k,Islam,11475,147
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,205
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,89
gpt2-small/res-jb,Islam,13731,147
gpt2-small/att-kk,Islam,8315,193
llama3.1-8b/llamascope-res-32k,Islam,7862,122
gemma-2-9b/gemmascope-res-16k,Islam,9630,132
gemma-2-2b/gemmascope-att-16k,Judaism,3135,36
gemma-2-2b/gemmascope-res-65k,Judaism,7737,119
gemma-2-2b/gemmascope-res-16k,Judaism,10121,154
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,194
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,60
gpt2-small/res-jb,Judaism,12703,134
gpt2-small/att-kk,Judaism,7865,183
llama3.1-8b/llamascope-res-32k,Judaism,7253,144
gemma-2-9b/gemmascope-res-16k,Judaism,8880,113
gemma-2-2b/gemmascope-att-16k,buddhism,3355,39
gemma-2-2b/gemmascope-res-65k,buddhism,8241,102
gemma-2-2b/gemmascope-res-16k,buddhism,10890,143
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,205
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,64
gpt2-small/res-jb,buddhism,13445,134
gpt2-small/att-kk,buddhism,8505,216
llama3.1-8b/llamascope-res-32k,buddhism,7551,181
gemma-2-9b/gemmascope-res-16k,buddhism,9403,106
gemma-2-2b/gemmascope-att-16k,hinduism,2805,36
gemma-2-2b/gemmascope-res-65k,hinduism,7746,185
gemma-2-2b/gemmascope-res-16k,hinduism,9990,155
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,207
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,94
gpt2-small/res-jb,hinduism,12141,141
gpt2-small/att-kk,hinduism,7813,170
llama3.1-8b/llamascope-res-32k,hinduism,7530,150
gemma-2-9b/gemmascope-res-16k,hinduism,8909,156
