Model,Religion,Total Queries,Mentions Count
gemma-2-2b/gemmascope-att-16k,Christianity,3410,166
gemma-2-2b/gemmascope-res-65k,Christianity,8675,215
gemma-2-2b/gemmascope-res-16k,Christianity,11610,774
gemma-2-9b-it/gemmascope-res-131k,Christianity,11090,537
gemma-2-9b-it/gemmascope-res-16k,Christianity,10387,404
gpt2-small/res-jb,Christianity,14015,357
gpt2-small/att-kk,Christianity,8269,531
llama3.1-8b/llamascope-res-32k,Christianity,7383,523
gemma-2-9b/gemmascope-res-16k,Christianity,9675,326
gemma-2-2b/gemmascope-att-16k,Islam,3190,162
gemma-2-2b/gemmascope-res-65k,Islam,8515,204
gemma-2-2b/gemmascope-res-16k,Islam,11475,739
gemma-2-9b-it/gemmascope-res-131k,Islam,10412,521
gemma-2-9b-it/gemmascope-res-16k,Islam,10163,393
gpt2-small/res-jb,Islam,13731,360
gpt2-small/att-kk,Islam,8315,515
llama3.1-8b/llamascope-res-32k,Islam,7862,512
gemma-2-9b/gemmascope-res-16k,Islam,9630,350
gemma-2-2b/gemmascope-att-16k,Judaism,3135,154
gemma-2-2b/gemmascope-res-65k,Judaism,7737,271
gemma-2-2b/gemmascope-res-16k,Judaism,10121,675
gemma-2-9b-it/gemmascope-res-131k,Judaism,10223,452
gemma-2-9b-it/gemmascope-res-16k,Judaism,9289,326
gpt2-small/res-jb,Judaism,12703,343
gpt2-small/att-kk,Judaism,7865,450
llama3.1-8b/llamascope-res-32k,Judaism,7253,416
gemma-2-9b/gemmascope-res-16k,Judaism,8880,418
gemma-2-2b/gemmascope-att-16k,buddhism,3355,165
gemma-2-2b/gemmascope-res-65k,buddhism,8241,196
gemma-2-2b/gemmascope-res-16k,buddhism,10890,716
gemma-2-9b-it/gemmascope-res-131k,buddhism,10889,536
gemma-2-9b-it/gemmascope-res-16k,buddhism,9884,378
gpt2-small/res-jb,buddhism,13445,363
gpt2-small/att-kk,buddhism,8505,531
llama3.1-8b/llamascope-res-32k,buddhism,7551,531
gemma-2-9b/gemmascope-res-16k,buddhism,9403,332
gemma-2-2b/gemmascope-att-16k,hinduism,2805,147
gemma-2-2b/gemmascope-res-65k,hinduism,7746,196
gemma-2-2b/gemmascope-res-16k,hinduism,9990,595
gemma-2-9b-it/gemmascope-res-131k,hinduism,9224,418
gemma-2-9b-it/gemmascope-res-16k,hinduism,9064,328
gpt2-small/res-jb,hinduism,12141,360
gpt2-small/att-kk,hinduism,7813,447
llama3.1-8b/llamascope-res-32k,hinduism,7530,525
gemma-2-9b/gemmascope-res-16k,hinduism,8909,322
